left_side,right_side,similarity
Urban Tactical Ltd.,Urban Tactical,0.9283067596698338
Urban Tactical,Urban Tactical Ltd.,0.9283067596698338
University of Calgary,The University of Calgary,0.913407284520343
University of British Columbia,the university of british columbia,0.9406031005710622
Universal Rail Systems Inc,universal rail systems â¬ã†,0.9748006196608465
Univar Solutions Canada LTD,Univar Solutions Canada,0.9303427097256995
Univar Solutions Canada,Univar Solutions Canada LTD,0.9303427097256995
"United Rentals, Inc.",united rentals,0.9532310722617747
Unique Workforce Solutions,Unique Workforce Solution,0.9764044609420427
Unique Workforce Solution,Unique Workforce Solutions,0.9764044609420427
UNI-ONE FOOD GROUP INC.,UNI-ONE FOOD GROUP,0.9534852963208003
UNI-ONE FOOD GROUP,UNI-ONE FOOD GROUP INC.,0.9534852963208003
UAP Inc.,UAP,0.904050479973365
UAP,UAP Inc.,0.904050479973365
U-style Development Ltd,U Style Development Inc.,0.9197244323181292
U Style Development Inc.,U-style Development Ltd,0.9197244323181292
"Tyler Technologies, Inc.",tyler technologies,0.9690377190923843
"Tyler Technologies, Inc.",Tyler Technologies,0.9690377190923843
Tyler Technologies,"Tyler Technologies, Inc.",0.9690377190923843
Turntide Technologies Canada Inc.,Turntide Technologies,0.9027120582164001
Turntide Technologies,Turntide Technologies Canada Inc.,0.9027120582164001
Tulsar Canada Ltd,Tulsar Canada,0.928860496655658
Tulsar Canada,tulsar canada ltd,0.928860496655658
Tulsar Canada,Tulsar Canada Ltd,0.928860496655658
Tucows Inc.,tucows,0.9613506696336206
Tucows Inc.,Tucows,0.9613506696336206
Tucows,Tucows Inc.,0.9613506696336206
True Life Wellness Physiotherapy,True Life Wellness and Physiotherapy,0.9406837232133682
True Life Wellness and Physiotherapy,True Life Wellness Physiotherapy,0.9406837232133682
Trouw Nutrition,trouw nutrition canada,0.9239297423559814
Triovest Realty Advisors Inc.,Triovest Realty Advisors,0.9792714505291278
Triovest Realty Advisors,Triovest Realty Advisors Inc.,0.9792714505291278
triOS College Business Technology Healthcare Inc....,trios college business technology healthcare,0.9813990050201192
triOS College Business Technology Healthcare Inc....,triOS College Business Technology Healthcare,0.9813990050201192
triOS College Business Technology Healthcare,triOS College Business Technology Healthcare Inc....,0.9813990050201192
Trimble,trimble inc ,0.9305950982544946
"Trimac Transportation, Ltd",Trimac Transportation,0.9481813219318049
Trimac Transportation,"Trimac Transportation, Ltd",0.9481813219318049
Tri Innovations Consulting Ltd.,Tri Innnovations Consulting Ltd.,0.9267746407475763
Tri Innnovations Consulting Ltd.,Tri Innovations Consulting Ltd.,0.9267746407475763
Trend Micro Inc.,trend micro,0.9318685361383534
Trend Micro Inc.,Trend Micro,0.9318685361383534
Trend Micro,Trend Micro Inc.,0.9318685361383534
TREBAS INSTITUTE,Institut Trebas Institute,0.9116549366272071
Treasury Board Secretariat,ontario treasury board secretariat,0.9019745903568663
Treasury Board Secretariat,Ontario Treasury Board Secretariat,0.9019745903568663
Transnomis Solutions,"Transnomis Solution, Inc.",0.936591799580505
"Transnomis Solution, Inc.",Transnomis Solutions,0.936591799580505
TransForm Shared Service Organization,Transform Service Organization,0.9087850342351109
Transform Service Organization,transform shared service organization,0.9087850342351109
Transform Service Organization,TransForm Shared Service Organization,0.9087850342351109
"Transdev, Inc.",transdev,0.9058603914136428
Transat A.T. inc.,Transat A.T.,0.9410071251989743
Transat A.T.,Transat A.T. inc.,0.9410071251989743
TRANS-NORTHERN PIPELINES,trans northern pipelines inc ,0.9770387865637349
Traffic Tech Inc.,traffic tech,0.9269135430217822
Toyota Canada Inc.,Toyota Canada,0.950422606403396
Toyota Canada,Toyota Canada Inc.,0.950422606403396
Town of Whitchurch-Stouffville,The Town of Whitchurch Stouffville,0.9667570663817299
Toronto and Region Conservation Authority (TRCA),Toronto and Region Conservation Authority,0.9026329715350783
Toronto and Region Conservation Authority,toronto and region conservation authority (trca),0.9026329715350783
Toronto and Region Conservation Authority,Toronto and Region Conservation Authority (TRCA),0.9026329715350783
Topnotch Employment Services Inc.,Topnotch Employment Services,0.9835231976338252
Topnotch Employment Services,Topnotch Employment Services Inc.,0.9835231976338252
Tolko Industries Ltd.,Tolko Industries,0.9504570379641122
Tolko Industries Ltd,Tolko Industries,0.9504570379641122
Tolko Industries,Tolko Industries Ltd,0.9504570379641122
Tolko Industries,Tolko Industries Ltd.,0.9504570379641122
TNR Industrial Doors.,TNR Industrial Doors Inc.,0.9776418582928423
TNR Industrial Doors Inc.,TNR Industrial Doors,0.9776418582928423
TNR Industrial Doors Inc.,TNR Industrial Doors.,0.9776418582928423
TNR Industrial Doors,TNR Industrial Doors Inc.,0.9776418582928423
TKEES INC.,TKEES,0.9502874185629032
TKEES,TKEES INC.,0.9502874185629032
"Tivix, Inc.",Tivix,0.9037596601541993
Tivix,"Tivix, Inc.",0.9037596601541993
Titan Trailers,titan trailers inc ,0.9629041473062449
Tink Profitabilité Numérique Inc.,Tink Profitabilité Numérique,0.9818276900917043
Tink Profitabilité Numérique,Tink Profitabilité Numérique Inc.,0.9818276900917043
Tim Hortons Inc.,tim hortons,0.9586448606465869
Tim Hortons Inc.,Tim Hortons,0.9586448606465869
Tim Hortons,Tim Hortons Inc.,0.9586448606465869
"Tigera, Inc",Tigera,0.9210635264898928
Tigera,"Tigera, Inc",0.9210635264898928
ThreeDify Inc.,ThreeDify,0.9466402485634078
ThreeDify,ThreeDify Inc.,0.9466402485634078
ThoughtStorm Inc,ThoughtStorm,0.9416931859195133
ThoughtStorm,ThoughtStorm Inc,0.9416931859195133
"Thomas, Large & Singer Inc.","Thomas, Large & Singer",0.9653535820432183
"Thomas, Large & Singer","Thomas, Large & Singer Inc.",0.9653535820432183
Thinktum Inc.,thinktum,0.932431918794961
thinktum,Thinktum Inc.,0.932431918794961
theScore Inc.,thescore,0.9252999052445683
theScore Inc.,theScore,0.9252999052445683
theScore,theScore Inc.,0.9252999052445683
The YMCA of Greater Toronto,YMCA of Greater Toronto,0.9190926030624509
THE WEXFORD RESIDENCE,the wexford residence inc ,0.9715578900408484
The Webbuilders Group,Webbuilders Group,0.9291378161749353
The University of Calgary,university of calgary,0.913407284520343
The University of Calgary,University of Calgary,0.913407284520343
The Town of Whitchurch Stouffville,Town of Whitchurch-Stouffville,0.9667570663817299
The Town of Whitby,town of whitby,0.93397170035336
The STEAM Project Inc.,The STEAM Project,0.9578653965899591
The STEAM Project,The STEAM Project Inc.,0.9578653965899591
The Reynolds & Reynolds Company,Reynolds and Reynolds,0.9278744594847897
The Research and Productivity Council (RPC),Research and Productivity Council (RPC),0.9636153913585147
The Ottawa Hospital and Region Imaging Associates...,Ottawa Hospital and Region Imaging Associates,0.9659358645882866
The Open Door Group,Open Door Group,0.9103112794133116
The Métis Nation of Ontario,mâˆšâ©tis nation of ontario,0.940423640254767
The Mason Group,the mason group inc ,0.9305128089597806
The Manitoba Conservatory of Music & Arts,Manitoba Conservatory of Music & Art,0.9318319357101181
The Law Society of British Columbia,Law Society of British Columbia,0.9585969508339977
The Inner Wellness Inc.,The Inner Wellness,0.9662469775149998
The Inner Wellness,The Inner Wellness Inc.,0.9662469775149998
The Immigrant Education Society (TIES),The Immigrant Education Society,0.9074123755063671
The Immigrant Education Society,The Immigrant Education Society (TIES),0.9074123755063671
The Ian Martin Group,Ian Martin Group,0.9206818401210504
The Huestis Insurance Group,Huestis Insurance Group,0.9311429935941565
The Homestead Alice M. Walter House,Homestead - The Alice M. Walter House,0.9490506493927029
The Hillman Group,the hillman group inc ,0.9484872613693437
The Greater Vancouver International Film Festival...,Greater Vancouver International Film Festival...,0.9687980642614051
The Edge Benefits Inc.,the edge benefits,0.9723617129434823
The Edge Benefits Inc.,The EDGE Benefits,0.9723617129434823
The Edge Benefits Inc.,The Edge Benefits,0.9723617129434823
The Edge Benefits,The Edge Benefits Inc.,0.9723617129434823
The EDGE Benefits,The Edge Benefits Inc.,0.9723617129434823
The District of Nipissing Social Services...,District of Nipissing Social Services...,0.9607395761578787
The County of Essex,county of essex,0.931783388990695
The County of Essex,County of Essex,0.931783388990695
The College of Family Physicians of Canada,COLLEGE OF FAMILY PHYSICIANS OF CANADA,0.9660068906817061
The Co-operators,Co-operators,0.903027952293511
THE CO-OPERATORS,Co-operators,0.903027952293511
The City of Owen Sound,CITY OF OWEN SOUND,0.9385039624905526
The City of Maple Ridge,city of maple ridge,0.9394580262952867
The City of Maple Ridge,City of Maple Ridge,0.9394580262952867
The City of Guelph,city of guelph,0.9306498308795664
The Children's Aid Society of Toronto,Children's Aid Society of Toronto,0.9618915911739472
The Calgary John Howard Society,Calgary John Howard Society,0.9618723004791556
The British Columbia Conservation Foundation,British Columbia Conservation Foundation,0.9630854628724788
The August Group,August Group,0.9192169733546618
The Association of Faculties of Medicine of Canada,Association of Faculties of Medicine of Canada,0.9713700428641548
The Anglican Diocese of Ottawa,Anglican Diocese of Ottawa,0.9618534685366271
The Alberta Teachers' Association,Alberta Teachers Association,0.9485191982653384
TForce Freight Canada,TForce Freight,0.9168909338590715
TForce Freight,TForce Freight Canada,0.9168909338590715
Texas Instruments Canada,Texas Instruments,0.918313085033355
Texas Instruments,Texas Instruments Canada,0.918313085033355
"Terramera, Inc",Terramera,0.9332000794588314
Terramera,"Terramera, Inc",0.9332000794588314
Terra Remote Sensing Inc.,Terra Remote Sensing,0.963605793159807
Terra Remote Sensing,Terra Remote Sensing Inc.,0.963605793159807
Tenneco Inc.,Tenneco,0.9059541121599597
Tenneco,Tenneco Inc.,0.9059541121599597
Teleperformance Canada,Teleperformance,0.9149625081030619
Teleperformance,Teleperformance Canada,0.9149625081030619
Telecon Inc.,telecon,0.9072997676792081
Telecon Inc.,Telecon,0.9072997676792081
Telecon Inc,telecon,0.9072997676792081
Telecon Inc,Telecon,0.9072997676792081
Telecon,Telecon Inc,0.9072997676792081
Telecon,Telecon Inc.,0.9072997676792081
"Tektree, Inc.",Tektree,0.9378845723365414
Tektree,"Tektree, Inc.",0.9378845723365414
TEEMA Solutions Group Inc.,TEEMA Solutions Group,0.9514575033368219
TEEMA Solutions Group Inc,TEEMA Solutions Group,0.9514575033368219
TEEMA Solutions Group,TEEMA Solutions Group Inc,0.9514575033368219
TEEMA Solutions Group,TEEMA Solutions Group Inc.,0.9514575033368219
Tecsys,tecsys inc ,0.9488632748567297
Teck Resources Limited,Teck Resource Limited,0.9213207535362566
Teck Resource Limited,teck resources limited,0.9213207535362566
Teck Resource Limited,Teck Resources Limited,0.9213207535362566
TechPrinciple Inc,TechPrinciple,0.9612511998765929
TechPrinciple,TechPrinciple Inc,0.9612511998765929
Technology and Resource Solutions,Technology & Resources Solutions,0.9346101715902928
Technology & Resources Solutions,Technology and Resource Solutions,0.9346101715902928
Technical Concrete Solutions,technical concrete solutions ltd ,0.9558837835080264
Techbrew Robotics Inc.,Techbrew Robotics,0.9753795959833939
Techbrew Robotics,Techbrew Robotics Inc.,0.9753795959833939
Techblocks Inc,TechBlocks,0.964928270849808
TechBlocks,Techblocks Inc,0.964928270849808
TECHAHEADCORP INC.,TechAheadCorp,0.9565674356595956
TechAheadCorp,TECHAHEADCORP INC.,0.9565674356595956
TDS Personnel Ltd,tds personnel,0.9350151881586827
TCL Supply Chain | Supply Chain,TCL Supply Chain,0.9490008882542313
TCL Supply Chain,TCL Supply Chain | Supply Chain,0.9490008882542313
TARO PHARMACEUTICALS INC.,taro pharmaceuticals,0.9767492656067309
TARO PHARMACEUTICALS INC.,TARO PHARMACEUTICALS,0.9767492656067309
TARO PHARMACEUTICALS INC.,"Taro Pharmaceuticals INC, Canada",0.9283409475440292
Taro Pharmaceuticals Inc.,taro pharmaceuticals,0.9767492656067309
Taro Pharmaceuticals Inc.,TARO PHARMACEUTICALS,0.9767492656067309
Taro Pharmaceuticals Inc.,"Taro Pharmaceuticals INC, Canada",0.9283409475440292
"Taro Pharmaceuticals INC, Canada",Taro Pharmaceuticals Inc.,0.9283409475440292
"Taro Pharmaceuticals INC, Canada",TARO PHARMACEUTICALS INC.,0.9283409475440292
"Taro Pharmaceuticals INC, Canada",taro pharmaceuticals,0.9067563387462875
"Taro Pharmaceuticals INC, Canada",TARO PHARMACEUTICALS,0.9067563387462875
TARO PHARMACEUTICALS,Taro Pharmaceuticals Inc.,0.9767492656067309
TARO PHARMACEUTICALS,TARO PHARMACEUTICALS INC.,0.9767492656067309
TARO PHARMACEUTICALS,"Taro Pharmaceuticals INC, Canada",0.9067563387462875
TandemLaunch,tandemlaunch inc ,0.9570365727792651
"TalentBurst, Inc",TalentBurst,0.9515408205700655
"TalentBurst, Inc",Talentburst,0.9515408205700655
Talentburst,"TalentBurst, Inc",0.9515408205700655
TalentBurst,"TalentBurst, Inc",0.9515408205700655
Talent Employment Inc,Talent Employment,0.9621131235671482
Talent Employment,Talent Employment Inc,0.9621131235671482
TAG ENGINEERING INC.,TAG Engineering,0.9509303388265609
TAG Engineering,TAG ENGINEERING INC.,0.9509303388265609
Tablée des Chefs,La Tablée des Chefs,0.9179065705576567
T&T Power Group Inc.,T&T Power Group,0.9531895206469511
T&T Power Group,T&T Power Group Inc.,0.9531895206469511
Systematix Inc.,Systematix,0.9081897941316692
Systematix,Systematix Inc.,0.9081897941316692
SysData Technologies Inc.,SysData Technologies,0.9716627573011434
SysData Technologies,SysData Technologies Inc.,0.9716627573011434
"Sysco Canada, Inc",Sysco Canada,0.9362176455706743
Sysco Canada,sysco canada inc ,0.9362176455706743
Sysco Canada,"Sysco Canada, Inc",0.9362176455706743
Synopsys,synopsys inc,0.9638691577861278
SynergyAspen Environmental Inc.,SynergyAspen Environmental,0.977024269262993
SynergyAspen Environmental,SynergyAspen Environmental Inc.,0.977024269262993
Symcor Inc.,symcor,0.9195913217009812
Symcor Inc.,Symcor,0.9195913217009812
Symcor,Symcor Inc.,0.9195913217009812
SyBridge Technologies Inc.,SyBridge Technologies,0.9730126378481533
SyBridge Technologies Inc.,Sybridge Technologies,0.9730126378481533
Sybridge Technologies,SyBridge Technologies Inc.,0.9730126378481533
SyBridge Technologies,SyBridge Technologies Inc.,0.9730126378481533
"Sustainable Forestry Initiative, Inc.",Sustainable Forestry Initiative,0.9772671212298765
Sustainable Forestry Initiative,"Sustainable Forestry Initiative, Inc.",0.9772671212298765
Surgical Safety Technologies Inc,Surgical Safety Technologies,0.9785831561068555
Surgical Safety Technologies,Surgical Safety Technologies Inc,0.9785831561068555
Sureway Construction Group Ltd.,Sureway Construction Group,0.9356121572936544
Sureway Construction Group,Sureway Construction Group Ltd.,0.9356121572936544
Sunnybrook Health Sciences Centre,sunnybrook health sciences centre dentistry,0.9114520784812452
Sundial Growers Inc,Sundial Growers,0.9600922192870792
Sundial Growers,Sundial Growers Inc,0.9600922192870792
Summit Search Group Inc.,Summit Search Group,0.9546639941113618
Summit Search Group,Summit Search Group Inc.,0.9546639941113618
Studio Distribution Services LLC,Studio Distribution Services,0.9183485693170946
Studio Distribution Services,Studio Distribution Services LLC,0.9183485693170946
"Strategic Way Consulting, Inc.",Strategic Way Consulting,0.963919546745416
Strategic Way Consulting,"Strategic Way Consulting, Inc.",0.963919546745416
Stratacache Inc,Stratacache,0.9497396549413347
Stratacache Inc,STRATACACHE,0.9497396549413347
STRATACACHE,Stratacache Inc,0.9497396549413347
Stratacache,Stratacache Inc,0.9497396549413347
STRABAG Inc.,strabag,0.937240550884208
Stouffville Dental Office,Dental Office in Stouffville,0.9296429355922521
Stikeman Elliott LLP,Stikeman Elliott,0.9069359517493688
Stikeman Elliott,Stikeman Elliott LLP,0.9069359517493688
Sterinova Inc.,Sterinova,0.925293745795377
Sterinova,Sterinova Inc.,0.925293745795377
STEMCELL Technologies INC,STEMCELL Technologies,0.9731648256719944
STEMCELL Technologies,STEMCELL Technologies INC,0.9731648256719944
"Stefanini, Inc",Stefanini,0.9273774269660007
Stefanini,"Stefanini, Inc",0.9273774269660007
"Steamoji, Inc.",Steamoji,0.9330845166100911
Steamoji,"Steamoji, Inc.",0.9330845166100911
Stealth Monitoring,stealth monitoring inc ,0.954473452251119
Starwood & Westwood Dental,Westwood & Starwood Dental,0.9680818355229243
Star Diamond Tools Inc.,Star Diamond Tools,0.972472774432463
Star Diamond Tools,Star Diamond Tools Inc.,0.972472774432463
Staffy,staffy inc ,0.9194092157856955
Staff Shop Inc.,Staff Shop,0.9369877200686774
Staff Shop,staff shop inc ,0.9369877200686774
Staff Shop,Staff Shop Inc.,0.9369877200686774
St. Leonard's Community Services Inc,St. Leonard's Community Services,0.9784944112481725
St. Leonard's Community Services,St. Leonard's Community Services Inc,0.9784944112481725
St-Laurent Academy Inc.,St-Laurent Academy,0.9620699281573364
St-Laurent Academy,St-Laurent Academy Inc.,0.9620699281573364
SST Wireless Inc.,SST Wireless,0.9687530077480037
SST Wireless,SST Wireless Inc.,0.9687530077480037
SSQ Assurance,ssq assurance | ssq insurance,0.9216593270107063
SSA Recruitment Group,SSA Recruitment,0.9144296251992432
SSA Recruitment,SSA Recruitment Group,0.9144296251992432
Specsavers Canada,Specsavers,0.900992706678597
Specsavers,Specsavers Canada,0.900992706678597
Spartan Controls Ltd.,Spartan Controls,0.9375674941720729
Spartan Controls,Spartan Controls Ltd.,0.9375674941720729
Sparrow Acoustics Inc,Sparrow Acoustics,0.9744677202254719
Sparrow Acoustics,Sparrow Acoustics Inc,0.9744677202254719
Sources Community Resources Society,Sources Community Resource Society,0.9595687173732664
Sources Community Resource Society,Sources Community Resources Society,0.9595687173732664
Source One Financial Corp,source one financial,0.917995780501983
Soroc Technology Inc.,soroc technology,0.9532862915682001
Soroc Technology Inc.,Soroc Technology,0.9532862915682001
Soroc Technology,Soroc Technology Inc.,0.9532862915682001
"Sony Pictures Entertainment, Inc.",sony pictures entertainment,0.9718608669179246
Somum Solutions inc,Somum Solutions,0.9656813468048485
Somum Solutions,Somum Solutions inc,0.9656813468048485
Solutions 2 GO,solutions 2 go inc ,0.943463881621838
Sohos Square Solutions,Sohos Square Solution,0.9748406031659808
Sohos Square Solution,Sohos Square Solutions,0.9748406031659808
Sofa Communications Inc.,Sofa Communications,0.9656495446053472
Sofa Communications,Sofa Communications Inc.,0.9656495446053472
SnapPay Inc.,SnapPay,0.9412103193755494
Snappay Inc.,SnapPay,0.9412103193755494
SnapPay,Snappay Inc.,0.9412103193755494
SnapPay,SnapPay Inc.,0.9412103193755494
Snaplii Inc.,Snaplii,0.9302973496216637
Snaplii,Snaplii Inc.,0.9302973496216637
Snap & Tow Inc.,snap & Tow,0.9206620800200975
snap & Tow,Snap & Tow Inc.,0.9206620800200975
SMS ENGINEERING LTD.,SMS Engineering,0.9252200831699192
SMS Engineering,SMS ENGINEERING LTD.,0.9252200831699192
Smartt Inc.,Smartt,0.9226933340921486
Smartt,Smartt Inc.,0.9226933340921486
SmartONE Solutions Inc.,smartone solutions,0.9626596828208462
SmartCone Technologies Inc,SmartCone Technologie,0.9275748937125329
SmartCone Technologie,SmartCone Technologies Inc,0.9275748937125329
SMART Technologies Inc.,SMART Technologies,0.9627502833745627
SMART Technologies,SMART Technologies Inc.,0.9627502833745627
Sleep Country,sleep country canada,0.9045655017863196
Sleeman Breweries,sleeman breweries ltd ,0.9554864543123281
SLACAN INDUSTRIES INC.,slacan industries,0.9694619777030776
Skyservice Business Aviation,skyservice business aviation inc ,0.9741758398948542
Skylab Technologies Inc.,Skylab Technologies,0.9737660695592028
Skylab Technologies,Skylab Technologies Inc.,0.9737660695592028
Sirius Computer Solutions,sirius computer solutions inc ,0.9761148224086977
sipeknekatik,Sipekne’katik Band,0.9113753275617604
Sipekne’katik Band,sipeknekatik,0.9113753275617604
Showbie Inc.,Showbie,0.9519583692845386
Showbie,Showbie Inc.,0.9519583692845386
Shorewise Inc,Shorewise,0.9430260394212061
SHOREWISE CONSULTING INC.,ShoreWise Consulting,0.9580253148546265
ShoreWise Consulting,SHOREWISE CONSULTING INC.,0.9580253148546265
Shorewise,Shorewise Inc,0.9430260394212061
Shift Digital,Digital Shift,0.9289300067591387
Sherwood Electromotion Inc,Sherwood Electromotion,0.9692903902866721
Sherwood Electromotion,Sherwood Electromotion Inc,0.9692903902866721
Shearwater Research Inc.,Shearwater Research,0.9625352205157648
Shearwater Research,Shearwater Research Inc.,0.9625352205157648
ShawCor Ltd.,shawcor,0.9013179384444735
ShawCor Ltd.,Shawcor,0.9013179384444735
Shawcor,ShawCor Ltd.,0.9013179384444735
SGGG Fund Services Inc.,SGGG Fund Services,0.9753347292724439
SGGG Fund Services Inc,SGGG Fund Services,0.9753347292724439
SGGG Fund Services,SGGG Fund Services Inc,0.9753347292724439
SGGG Fund Services,SGGG Fund Services Inc.,0.9753347292724439
SEYMOUR PACIFIC DEVELOPMENTS LTD.,seymour pacific developments,0.9713458868089041
Sensors & Software Inc.,Sensors & Software,0.9605391394267053
Sensors & Software,Sensors & Software Inc.,0.9605391394267053
Select Tool Inc.,Select Tool,0.941353006912846
Select Tool Inc,Select Tool,0.941353006912846
Select Tool,select tool inc ,0.941353006912846
Select Tool,Select Tool Inc,0.941353006912846
Select Tool,Select Tool Inc.,0.941353006912846
Sedin Technologies Corp.,Sedin Technologies,0.9047847950144993
Sedin Technologies,Sedin Technologies Corp.,0.9047847950144993
Securitas Canada Ltd.,securitas canada,0.9184798337576732
Securitas Canada Ltd.,Securitas Canada,0.9184798337576732
Securitas Canada,Securitas Canada Ltd.,0.9184798337576732
Seasons Retirement Communities LP,seasons retirement communities,0.9331062887470829
