left_side,right_side,similarity,companyName,industryCode,industry
Riverside Millwork Group,RIVERSIDE MILLWORK GROUP INC,0.9646389201224307,RIVERSIDE MILLWORK GROUP INC,49.0,building materials
riverside millwork group,RIVERSIDE MILLWORK GROUP INC,0.9646389201224307,RIVERSIDE MILLWORK GROUP INC,49.0,building materials
Resolver,Resolver Inc.,0.9135778299529688,Resolver Inc.,4.0,computer software
RealDecoy,RealDecoy Inc.,0.9448007023109578,RealDecoy Inc.,4.0,computer software
realdecoy,RealDecoy Inc.,0.9448007023109578,RealDecoy Inc.,4.0,computer software
Real Fruit Bubble Tea,Real Fruit Bubble Tea Inc.,0.9737846587185691,Real Fruit Bubble Tea Inc.,34.0,food / beverages
real fruit bubble tea,Real Fruit Bubble Tea Inc.,0.9737846587185691,Real Fruit Bubble Tea Inc.,34.0,food / beverages
Rakuten Kobo,Rakuten Kobo Inc.,0.9600372851345004,Rakuten Kobo Inc.,6.0,internet
PressReader,PressReader Inc.,0.9410798804521169,PressReader Inc.,82.0,publishing
pressreader,PressReader Inc.,0.9410798804521169,PressReader Inc.,82.0,publishing
Precise Parklink,Precise ParkLink Inc.,0.9486051855754529,Precise ParkLink Inc.,122.0,facilities services
precise parklink,Precise ParkLink Inc.,0.9486051855754529,Precise ParkLink Inc.,122.0,facilities services
Pharmascience,Pharmascience Inc.,0.9544423682564932,Pharmascience Inc.,15.0,pharmaceuticals
pharmascience,Pharmascience Inc.,0.9544423682564932,Pharmascience Inc.,15.0,pharmaceuticals
Ontario Treasury Board Secretariat,Treasury Board Secretariat,0.9019745903568663,Treasury Board Secretariat,75.0,government administration
ontario treasury board secretariat,Treasury Board Secretariat,0.9019745903568663,Treasury Board Secretariat,75.0,government administration
Multimatic,Multimatic Inc.,0.91208455466939,Multimatic Inc.,53.0,automotive
MHI Canada Aerospace,"MHI Canada Aerospace, Inc.",0.9714177538799764,"MHI Canada Aerospace, Inc.",52.0,aviation / aerospace
McCain Foods,McCain Foods Ltd.,0.9403138091461944,McCain Foods Ltd.,23.0,food production
mccain foods,McCain Foods Ltd.,0.9403138091461944,McCain Foods Ltd.,23.0,food production
McAfee,"MCAFEE, INC.",0.9417242866010314,"MCAFEE, INC.",118.0,computer / network security
mcafee,"MCAFEE, INC.",0.9417242866010314,"MCAFEE, INC.",118.0,computer / network security
Marwood International,Marwood International Inc.,0.957580688376364,Marwood International Inc.,53.0,automotive
Marks Supply,Marks Supply Inc,0.936335151660342,Marks Supply Inc,133.0,wholesale
MARKS SUPPLY,Marks Supply Inc,0.936335151660342,Marks Supply Inc,133.0,wholesale
Markham Stouffville Hospital,Markham Stouffville Hospital Corporation,0.9191961562630035,Markham Stouffville Hospital Corporation,14.0,hospital / health care
markham stouffville hospital,Markham Stouffville Hospital Corporation,0.9191961562630035,Markham Stouffville Hospital Corporation,14.0,hospital / health care
Mark Anthony Group Inc.,Mark Anthony Group Inc. - Canada,0.9150406776770962,Mark Anthony Group Inc. - Canada,142.0,wine / spirits
Manion Wilkins & Associates,Manion Wilkins & Associates Ltd.,0.9643704076737087,Manion Wilkins & Associates Ltd.,11.0,management consulting
Magna International,Magna International Inc.,0.9527468252949386,Magna International Inc.,53.0,automotive
magna international,Magna International Inc.,0.9527468252949386,Magna International Inc.,53.0,automotive
MAD Elevator,MAD Elevator Inc,0.9440297966332775,MAD Elevator Inc,135.0,mechanical/ industrial engineering
Labatt Breweries Canada,Labatt Breweries of Canada,0.9204733519881081,Labatt Breweries of Canada,25.0,consumer goods
Kaycan,Kaycan Ltd,0.9001627101644887,Kaycan Ltd,49.0,building materials
kaycan,Kaycan Ltd,0.9001627101644887,Kaycan Ltd,49.0,building materials
Kawartha Credit Union,Kawartha Credit Union Ltd,0.9513587542367318,Kawartha Credit Union Ltd,41.0,banking
kawartha credit union,Kawartha Credit Union Ltd,0.9513587542367318,Kawartha Credit Union Ltd,41.0,banking
Jolera,Jolera Inc.,0.9219931161844771,Jolera Inc.,96.0,information technology / services
Home and Community Care Support Services,Home and Community Care Support Services Central...,0.9213540601678237,Home and Community Care Support Services Central...,75.0,government administration
home and community care support services central east,Home and Community Care Support Services Central...,0.9258909243898177,Home and Community Care Support Services Central...,75.0,government administration
Hand & Stone Massage and Facial Spa,Hand & Stone Massage and Facial Spa - Toronto,0.9075044749985292,Hand & Stone Massage and Facial Spa - Toronto,124.0,health/ wellness / fitness
hand and stone massage and facial spa,Hand & Stone Massage and Facial Spa - Toronto,0.9075044749985292,Hand & Stone Massage and Facial Spa - Toronto,124.0,health/ wellness / fitness
Ground Effects,Ground Effects Ltd.,0.9396825394271593,Ground Effects Ltd.,53.0,automotive
Greenfield Global,Greenfield Global Inc.,0.9627132851003855,Greenfield Global Inc.,144.0,renewables / environment
greenfield global,Greenfield Global Inc.,0.9627132851003855,Greenfield Global Inc.,144.0,renewables / environment
Gordon Food Service,Gordon Food Service Canada,0.9142610904852984,Gordon Food Service Canada,34.0,food / beverages
gordon food service,Gordon Food Service Canada,0.9142610904852984,Gordon Food Service Canada,34.0,food / beverages
GFL Environmental,GFL Environmental Inc.,0.9659809095792814,GFL Environmental Inc.,92.0,transportation/trucking/railroad
Fuze HR Solutions,Fuze HR Solutions Inc,0.9710699155176618,Fuze HR Solutions Inc,104.0,staffing / recruiting
fuze hr solutions,Fuze HR Solutions Inc,0.9710699155176618,Fuze HR Solutions Inc,104.0,staffing / recruiting
Freightcom,Freightcom Inc.,0.9344514397670478,Freightcom Inc.,116.0,logistics / supply chain
freightcom,Freightcom Inc.,0.9344514397670478,Freightcom Inc.,116.0,logistics / supply chain
Fastenal Canada,Fastenal Canada LTD,0.9075872240507569,Fastenal Canada LTD,133.0,wholesale
fastenal canada,Fastenal Canada LTD,0.9075872240507569,Fastenal Canada LTD,133.0,wholesale
EPAM Systems,EPAM Systems (Canada),0.9045789730025157,EPAM Systems (Canada),4.0,computer software
epam systems,EPAM Systems (Canada),0.9045789730025157,EPAM Systems (Canada),4.0,computer software
Cummins,Cummins Inc.,0.9478068090469938,Cummins Inc.,53.0,automotive
Creaform,Creaform Inc,0.9119555979391503,Creaform Inc,135.0,mechanical/ industrial engineering
creaform,Creaform Inc,0.9119555979391503,Creaform Inc,135.0,mechanical/ industrial engineering
CPK Interior Products I,CPK Interior Products Inc,0.9432381124542089,CPK Interior Products Inc,53.0,automotive
CpK Interior Products,CPK Interior Products Inc,0.9767946680892486,CPK Interior Products Inc,53.0,automotive
County of Essex,The County of Essex,0.931783388990695,The County of Essex,75.0,government administration
county of essex,The County of Essex,0.931783388990695,The County of Essex,75.0,government administration
City of Maple Ridge,The City of Maple Ridge,0.9394580262952867,The City of Maple Ridge,75.0,government administration
city of maple ridge,The City of Maple Ridge,0.9394580262952867,The City of Maple Ridge,75.0,government administration
Christie Innomed,Christie Innomed Inc,0.9534745786195842,Christie Innomed Inc,14.0,hospital / health care
christie innomed,Christie Innomed Inc,0.9534745786195842,Christie Innomed Inc,14.0,hospital / health care
Century Group,Century Group Inc.,0.9224765108920331,Century Group Inc.,104.0,staffing / recruiting
century group,Century Group Inc.,0.9224765108920331,Century Group Inc.,104.0,staffing / recruiting
Central Alberta Co-op,Central Alberta Co-op Ltd.,0.9359998486133226,Central Alberta Co-op Ltd.,27.0,retail
Cargojet Airways,Cargojet Airways Ltd.,0.9612063409540405,Cargojet Airways Ltd.,94.0,airlines/aviation
Carefirst Seniors & Community Services Association,Carefirst Seniors and Community Services...,0.9054481967618221,Carefirst Seniors and Community Services...,124.0,health/ wellness / fitness
carefirst seniors and community services association,Carefirst Seniors and Community Services...,0.9054481967618221,Carefirst Seniors and Community Services...,124.0,health/ wellness / fitness
Canadian Linen and Uniform Service,Canadian Linen and Uniform Service Corp,0.9515196370432112,Canadian Linen and Uniform Service Corp,88.0,individual / family services
Canadian Linen & Uniform Service,Canadian Linen and Uniform Service Corp,0.9515196370432112,Canadian Linen and Uniform Service Corp,88.0,individual / family services
canadian linen and uniform service inc ,Canadian Linen and Uniform Service Corp,0.9295534366161129,Canadian Linen and Uniform Service Corp,88.0,individual / family services
Canada Goose,Canada Goose Inc.,0.9411179300866738,Canada Goose Inc.,19.0,apparel / fashion
canada goose,Canada Goose Inc.,0.9411179300866738,Canada Goose Inc.,19.0,apparel / fashion
BURNCO Rock Products,BURNCO ROCK PRODUCTS Ltd,0.9599152752177286,BURNCO ROCK PRODUCTS Ltd,48.0,construction
Bunzl Canada,Bunzl Canada Inc,0.9551789932514912,Bunzl Canada Inc,133.0,wholesale
BUNZL Canada,Bunzl Canada Inc,0.9551789932514912,Bunzl Canada Inc,133.0,wholesale
bunzl canada,Bunzl Canada Inc,0.9551789932514912,Bunzl Canada Inc,133.0,wholesale
Boston Pizza International,"Boston Pizza International, Inc.",0.9700926135804598,"Boston Pizza International, Inc.",32.0,restaurants
Badger Daylighting,Badger Daylighting Corp.,0.9327266782173715,Badger Daylighting Corp.,86.0,environmental services
badger daylighting inc,Badger Daylighting Corp.,0.9027341621617231,Badger Daylighting Corp.,86.0,environmental services
Avidbots,Avidbots Corp,0.9061081722982867,Avidbots Corp,147.0,industrial automation
Atlantic Packaging Products,Atlantic Packaging Products Ltd,0.965832605110908,Atlantic Packaging Products Ltd,146.0,packaging / containers
Ask4Care Support Services,ASK4CARE SUPPORT SERVICES INC.,0.9801292762178921,ASK4CARE SUPPORT SERVICES INC.,14.0,hospital / health care
Archmill House,Archmill House Inc,0.9582329126343629,Archmill House Inc,48.0,construction
archmill house,Archmill House Inc,0.9582329126343629,Archmill House Inc,48.0,construction
Apotex Pharmachem,Apotex Pharmachem Inc.,0.9577511339452366,Apotex Pharmachem Inc.,15.0,pharmaceuticals
Aecon Group,Aecon Group Inc.,0.9273078289120947,Aecon Group Inc.,48.0,construction
Abell Pest Control,Abell Pest Control Inc.,0.9619273783431931,Abell Pest Control Inc.,86.0,environmental services
abell pest control,Abell Pest Control Inc.,0.9619273783431931,Abell Pest Control Inc.,86.0,environmental services
blueprint software systems,Blueprint Software Systems Inc.,0.9790426042246447,Blueprint Software Systems Inc.,4.0,computer software
book4time inc ,Book4time,0.9628114725442727,Book4time,4.0,computer software
commissionaire,Commissionaires,0.9401844602596533,Commissionaires,4.0,computer software
copperleaf technologies,Copperleaf Technologies Inc.,0.9766538157595014,Copperleaf Technologies Inc.,4.0,computer software
evilnut creative technology,Evilnut Creative Technology Ltd.,0.9626128458494239,Evilnut Creative Technology Ltd.,4.0,computer software
freshworks studio,FreshWorks Studio Inc.,0.9581978040504433,FreshWorks Studio Inc.,4.0,computer software
guidewire software,"Guidewire Software, Inc.",0.9703822534890489,"Guidewire Software, Inc.",4.0,computer software
rise people,"Rise People, Inc",0.9512908494889947,"Rise People, Inc",4.0,computer software
synopsys inc,Synopsys,0.9638691577861278,Synopsys,4.0,computer software
tecsys inc ,Tecsys,0.9488632748567297,Tecsys,4.0,computer software
auvik networks inc ,Auvik Networks,0.9743061660810203,Auvik Networks,5.0,computer networking
trimble inc ,Trimble,0.9305950982544946,Trimble,5.0,computer networking
microchip technology inc ,Microchip Technology,0.9636000926399272,Microchip Technology,7.0,semiconductors
cogeco inc ,Cogeco,0.9084701601902718,Cogeco,8.0,telecommunications
glentel inc ,GLENTEL,0.9065382663750875,GLENTEL,8.0,telecommunications
xplornet communications,Xplornet Communications Inc.,0.9760806047257362,Xplornet Communications Inc.,8.0,telecommunications
kelowna flightcraft ltd ,Kelowna Flightcraft,0.9625291505726712,Kelowna Flightcraft,11.0,management consulting
perkinelmer inc ,PerkinElmer,0.9461123104068824,PerkinElmer,12.0,biotechnology
pain care clinics pcc,PCC - Pain Care Clinics,0.938032706686809,PCC - Pain Care Clinics,13.0,medical practice
sunnybrook health sciences centre dentistry,Sunnybrook Health Sciences Centre,0.9114520784812452,Sunnybrook Health Sciences Centre,13.0,medical practice
the canadian medical protective association,Canadian Medical Protective Association,0.9574616185032347,Canadian Medical Protective Association,14.0,hospital / health care
seasons retirement communities,Seasons Retirement Communities LP,0.9331062887470829,Seasons Retirement Communities LP,14.0,hospital / health care
the wexford residence inc ,THE WEXFORD RESIDENCE,0.9715578900408484,THE WEXFORD RESIDENCE,14.0,hospital / health care
aurora cannabis inc ,Aurora Cannabis,0.9714823897343169,Aurora Cannabis,15.0,pharmaceuticals
boutique la vie en rose inc,Boutique La Vie En Rose,0.9765936967670481,Boutique La Vie En Rose,17.0,medical device
csr cosmetic solutions inc ,CSR Cosmetic Solutions,0.9771470880379053,CSR Cosmetic Solutions,18.0,cosmetics
revlon inc ,Revlon,0.9345206386579128,Revlon,18.0,cosmetics
diamond estates wines and spirit inc,DIAMOND ESTATES WINES & SPIRITS,0.9324218575031744,DIAMOND ESTATES WINES & SPIRITS,23.0,food production
the kraft heinz company,Kraft Heinz Company,0.937772291380079,Kraft Heinz Company,23.0,food production
maple leaf foods inc,Maple Leaf Foods,0.9716975267364159,Maple Leaf Foods,23.0,food production
newly weds foods,Newly Weds Foods Co.,0.9603866397764804,Newly Weds Foods Co.,23.0,food production
trouw nutrition canada,Trouw Nutrition,0.9239297423559814,Trouw Nutrition,23.0,food production
aci brands inc ,ACI Brands,0.9596247407397533,ACI Brands,25.0,consumer goods
crossmark,"CROSSMARK, Inc.",0.9221663969744153,"CROSSMARK, Inc.",25.0,consumer goods
keurig dr pepper inc ,Keurig Dr Pepper,0.9655882325490669,Keurig Dr Pepper,25.0,consumer goods
onward manufacturing company limited,Onward Manufacturing Company,0.905334832997619,Onward Manufacturing Company,25.0,consumer goods
calibre sales,Calibre Sales Inc.,0.9626245693991912,Calibre Sales Inc.,27.0,retail
counter intelligence merchandising,Counter Intelligence Merchandising Inc.,0.9758004701106553,Counter Intelligence Merchandising Inc.,27.0,retail
groupe adonis inc ,Groupe Adonis,0.9608709579262169,Groupe Adonis,27.0,retail
mca merchandising consultants associates,Merchandising Consultants Associates,0.9147042744093659,Merchandising Consultants Associates,27.0,retail
mister safety shoes inc ,Mister Safety Shoes,0.9739476298092324,Mister Safety Shoes,27.0,retail
osl retail services,OSL Retail Services Inc,0.9726062459698149,OSL Retail Services Inc,27.0,retail
sleep country canada,Sleep Country,0.9045655017863196,Sleep Country,27.0,retail
ink entertainment group,INK Entertainment,0.9071257768528518,INK Entertainment,28.0,entertainment
sony pictures entertainment,"Sony Pictures Entertainment, Inc.",0.9718608669179246,"Sony Pictures Entertainment, Inc.",28.0,entertainment
marriott international,"Marriott International, Inc",0.9583471971345674,"Marriott International, Inc",31.0,hospitality
italia salami co,Italia Salami CO LTD.,0.9372002100719815,Italia Salami CO LTD.,32.0,restaurants
flanagan foodservice inc ,Flanagan Foodservice,0.9668253376884438,Flanagan Foodservice,34.0,food / beverages
moosehead breweries,Moosehead Breweries Limited,0.9033851593563543,Moosehead Breweries Limited,34.0,food / beverages
sleeman breweries ltd ,Sleeman Breweries,0.9554864543123281,Sleeman Breweries,34.0,food / beverages
proslide technology inc ,Proslide Technology,0.9599950758987463,Proslide Technology,40.0,recreational facilities / services
claimsecure inc ,ClaimSecure,0.9603582930340611,ClaimSecure,42.0,insurance
lawrie insurance group,Lawrie Insurance Group Inc.,0.957930257422856,Lawrie Insurance Group Inc.,42.0,insurance
clv group,CLV Group Inc.,0.9338425255133844,CLV Group Inc.,44.0,real estate
right at home realty inc brokerage,Right at Home Realty Brokerage,0.9251388160546536,Right at Home Realty Brokerage,44.0,real estate
seymour pacific developments,SEYMOUR PACIFIC DEVELOPMENTS LTD.,0.9713458868089041,SEYMOUR PACIFIC DEVELOPMENTS LTD.,44.0,real estate
alberta investment management corporation (aimco),AIMCo (Alberta Investment Management Corporation),0.9735976350275412,AIMCo (Alberta Investment Management Corporation),46.0,investment management
access restoration services,ACCESS RESTORATION SERVICES LTD.,0.9530988405800194,ACCESS RESTORATION SERVICES LTD.,48.0,construction
gateman milloy inc ,Gateman Milloy,0.9524285368067595,Gateman Milloy,48.0,construction
landmark structures,Landmark Structures Co.,0.9510502442463572,Landmark Structures Co.,48.0,construction
maple reinders group,Maple Reinders,0.9003984639116165,Maple Reinders,48.0,construction
partridge fine landscapes,Partridge Fine Landscapes Ltd,0.9650064551731717,Partridge Fine Landscapes Ltd,48.0,construction
technical concrete solutions ltd ,Technical Concrete Solutions,0.9558837835080264,Technical Concrete Solutions,48.0,construction
walters group,Walters Group Inc,0.9242178412717652,Walters Group Inc,48.0,construction
whissell contracting ltd ,Whissell Contracting,0.9406256586910018,Whissell Contracting,48.0,construction
aversan inc ,Aversan,0.9204237376757703,Aversan,52.0,aviation / aerospace
diversey,"Diversey, Inc.",0.9187257964107238,"Diversey, Inc.",54.0,chemicals
pestell nutrition inc ,Pestell Nutrition,0.9600844362150366,Pestell Nutrition,54.0,chemicals
asahi refining,Asahi Refining Canada,0.9205216326024677,Asahi Refining Canada,56.0,mining / metals
hudbay minerals inc ,Hudbay Minerals,0.9730452165069763,Hudbay Minerals,56.0,mining / metals
rimex supply,Rimex Supply Ltd.,0.932598674645799,Rimex Supply Ltd.,56.0,mining / metals
universal rail systems â¬ã†,Universal Rail Systems Inc,0.9748006196608465,Universal Rail Systems Inc,62.0,railroad manufacture
the university of british columbia,University of British Columbia,0.9406031005710622,University of British Columbia,68.0,higher education
acuityads inc ,AcuityAds,0.9651946370016288,AcuityAds,80.0,marketing / advertising
archway marketing services,"Archway Marketing Services, Inc.",0.9763203686890245,"Archway Marketing Services, Inc.",80.0,marketing / advertising
ebay,eBay Inc.,0.9167263159190764,eBay Inc.,80.0,marketing / advertising
reebee inc ,reebee,0.9416539868746817,reebee,80.0,marketing / advertising
sirius computer solutions inc ,Sirius Computer Solutions,0.9761148224086977,Sirius Computer Solutions,80.0,marketing / advertising
esc corporate services,ESC Corporate Services Ltd.,0.9474216975231337,ESC Corporate Services Ltd.,84.0,information services
assurance home care,Assurance Home Care canada,0.9149264633983877,Assurance Home Care canada,88.0,individual / family services
lullaboo nursery and childcare centre,Lullaboo Nursery and Childcare Center Inc,0.9429440542597669,Lullaboo Nursery and Childcare Center Inc,88.0,individual / family services
bison transport inc ,Bison Transport,0.950668207146877,Bison Transport,92.0,transportation/trucking/railroad
goright fleet solutions,GoRight Fleet Solutions Inc.,0.9757672381505428,GoRight Fleet Solutions Inc.,92.0,transportation/trucking/railroad
hunter express,Hunter Express Ltd,0.9383655101691281,Hunter Express Ltd,92.0,transportation/trucking/railroad
kas staffing ltd,KAS Staffing,0.9178044716744589,KAS Staffing,92.0,transportation/trucking/railroad
manitoulin transport,Manitoulin Transport Inc.,0.9636429608949011,Manitoulin Transport Inc.,92.0,transportation/trucking/railroad
parts for trucks inc ,Parts for Trucks,0.9660933627153919,Parts for Trucks,92.0,transportation/trucking/railroad
scotlynn commodities inc ,Scotlynn Commodities,0.9803508856786605,Scotlynn Commodities,92.0,transportation/trucking/railroad
titan trailers inc ,Titan Trailers,0.9629041473062449,Titan Trailers,92.0,transportation/trucking/railroad
transdev,"Transdev, Inc.",0.9058603914136428,"Transdev, Inc.",92.0,transportation/trucking/railroad
uride inc ,Uride,0.9229975811763196,Uride,92.0,transportation/trucking/railroad
xpo logistics inc ,XPO Logistics,0.9696892866277658,XPO Logistics,92.0,transportation/trucking/railroad
yrc freight,YRC Freight Canada,0.9160796810829381,YRC Freight Canada,92.0,transportation/trucking/railroad
360insights com,360insights,0.9364788552473862,360insights,96.0,information technology / services
assent compliance inc,Assent Compliance,0.9527331376457524,Assent Compliance,96.0,information technology / services
cofomo,"COFOMO, Inc",0.9218804242429253,"COFOMO, Inc",96.0,information technology / services
constellation software inc ,Constellation Software,0.958252352853486,Constellation Software,96.0,information technology / services
drvn intelligence inc ,DRVN Intelligence,0.9691838566553803,DRVN Intelligence,96.0,information technology / services
dapasoft,Dapasoft Inc,0.9452243818198383,Dapasoft Inc,96.0,information technology / services
delbridge solutions,Delbridge Solutions Inc.,0.969828079466723,Delbridge Solutions Inc.,96.0,information technology / services
epiq systems ltd ,"Epiq Systems, Inc.",0.9167951383101139,"Epiq Systems, Inc.",96.0,information technology / services
fully managed,FULLY MANAGED INC,0.9473436630253267,FULLY MANAGED INC,96.0,information technology / services
premier tech inc ,Premier Tech,0.9309778478242295,Premier Tech,96.0,information technology / services
quad infotech inc ,Quad Infotech,0.9444346372704041,Quad Infotech,96.0,information technology / services
ricoh canada inc ,Ricoh Canada,0.9510476530481544,Ricoh Canada,96.0,information technology / services
smartone solutions,SmartONE Solutions Inc.,0.9626596828208462,SmartONE Solutions Inc.,96.0,information technology / services
visual defence,Visual Defence Inc.,0.9628718421619378,Visual Defence Inc.,96.0,information technology / services
ztr control systems inc,ZTR Control Systems,0.9746781547259639,ZTR Control Systems,96.0,information technology / services
coho management services society,COHO Management and Services Society,0.9309788639826672,COHO Management and Services Society,100.0,nonprofit/ganization management
heritage skills development,Heritage Skills Development Center,0.9333510132136986,Heritage Skills Development Center,100.0,nonprofit/ganization management
mâˆšâ©tis nation of ontario,The Métis Nation of Ontario,0.940423640254767,The Métis Nation of Ontario,100.0,nonprofit/ganization management
natural resources canada | ressources naturelles canada,Natural Resources Canada,0.9039305285554191,Natural Resources Canada,100.0,nonprofit/ganization management
carecor health services ltd ,Carecor Health Services,0.9460188977112666,Carecor Health Services,104.0,staffing / recruiting
drake international,Drake International Inc,0.9543342991590064,Drake International Inc,104.0,staffing / recruiting
great connections employment services,Great Connections Employment Services Inc.,0.9821441087949381,Great Connections Employment Services Inc.,104.0,staffing / recruiting
kpi staffing,KPI Staffing Inc.,0.9537864594043234,KPI Staffing Inc.,104.0,staffing / recruiting
michael page,Michael Page CA,0.9071431345305597,Michael Page CA,104.0,staffing / recruiting
peak sales recruiting,Peak Sales Recruiting Inc,0.9655892995035491,Peak Sales Recruiting Inc,104.0,staffing / recruiting
prodigy personnel ltd ,Prodigy Personnel,0.9429402693815868,Prodigy Personnel,104.0,staffing / recruiting
rpi consulting group inc ,RPI Consulting Group,0.9563370331563394,RPI Consulting Group,104.0,staffing / recruiting
tds personnel,TDS Personnel Ltd,0.9350151881586827,TDS Personnel Ltd,104.0,staffing / recruiting
the mason group inc ,The Mason Group,0.9305128089597806,The Mason Group,104.0,staffing / recruiting
kraun electric inc ,Kraun Electric,0.9493906685837425,Kraun Electric,112.0,electrical / electronic manufacturing
the hillman group inc ,The Hillman Group,0.9484872613693437,The Hillman Group,112.0,electrical / electronic manufacturing
attabotics inc ,Attabotics,0.96076625825749,Attabotics,116.0,logistics / supply chain
express container management inc ,Express Container Management,0.966077162459024,Express Container Management,116.0,logistics / supply chain
k bro linen systems inc,K-Bro Linen Systems,0.9743029956082349,K-Bro Linen Systems,116.0,logistics / supply chain
kintetsu world express canada inc ,Kintetsu World Express,0.9280704336257881,Kintetsu World Express,116.0,logistics / supply chain
