companyName,industryCode,industry
diff eyewear,19.0,apparel / fashion
gap inc ,19.0,apparel / fashion
geox,19.0,apparel / fashion
guess? inc ,19.0,apparel / fashion
harveys,19.0,apparel / fashion
j crew,19.0,apparel / fashion
jack and jones india,19.0,apparel / fashion
kate spade new york,19.0,apparel / fashion
le châˆšã‡teau,19.0,apparel / fashion
maje,19.0,apparel / fashion
mejuri,19.0,apparel / fashion
pvh corp ,19.0,apparel / fashion
ralph lauren,19.0,apparel / fashion
sentaler,19.0,apparel / fashion
smcp â€šã„ã¬ sandro maje claudie pierlot fursac,19.0,apparel / fashion
tommy bahama,19.0,apparel / fashion
tory burch,19.0,apparel / fashion
true religion brand jeans,19.0,apparel / fashion
uniqlo canada,19.0,apparel / fashion
unisync group limited,19.0,apparel / fashion
west49#113,19.0,apparel / fashion
excalibur crossbow inc ,20.0,sporting goods
new balance,20.0,sporting goods
nike,20.0,sporting goods
puma group,20.0,sporting goods
sport chek,20.0,sporting goods
under armour,20.0,sporting goods
jti (japan tobacco international),21.0,tobacco
bat,21.0,tobacco
philip morris international,21.0,tobacco
foodland,22.0,supermarkets
foodstuffs (wellington) co operative ltd,22.0,supermarkets
raja bakery,22.0,supermarkets
starsky fine foods inc ,22.0,supermarkets
armstrong milling co ltd,23.0,food production
aryzta,23.0,food production
blommer chocolate company,23.0,food production
bobbette and belle,23.0,food production
bonduelle,23.0,food production
bunge,23.0,food production
celtrade canada inc ,23.0,food production
chapmanis ice cream,23.0,food production
concord premium meats limited,23.0,food production
canada bread company limited,23.0,food production
cavendish farms,23.0,food production
index fresh inc,23.0,food production
chudleigh's limited,23.0,food production
club coffee,23.0,food production
conestoga meats,23.0,food production
david roberts food corporation,23.0,food production
azienda agrimontana s p a ,23.0,food production
DIAMOND ESTATES WINES & SPIRITS,23.0,food production
dimpflmeier bakery ltd ,23.0,food production
chennai caters inc,23.0,food production
ecolab,23.0,food production
elmira pet products,23.0,food production
erie meat products ltd,23.0,food production
fgf brands,23.0,food production
bio raw,23.0,food production
furlani foods,23.0,food production
give and go prepared foods,23.0,food production
griffith foods,23.0,food production
hain celestial canada ulc,23.0,food production
hensall co op,23.0,food production
highline mushrooms,23.0,food production
jbs food canada,23.0,food production
jan k overweel limited,23.0,food production
karma candy inc ,23.0,food production
king cole ducks,23.0,food production
Kraft Heinz Company,23.0,food production
lakeside produce,23.0,food production
leclerc foods,23.0,food production
lecoupe ice,23.0,food production
les aliments whyte's inc whyte's foods inc ,23.0,food production
maple lodge farms,23.0,food production
Maple Leaf Foods,23.0,food production
marsan foods limited,23.0,food production
McCain Foods Ltd.,23.0,food production
mccormick and company,23.0,food production
nature fresh farms,23.0,food production
nestlâˆšâ©,23.0,food production
Newly Weds Foods Co.,23.0,food production
nutreco,23.0,food production
olymel,23.0,food production
parmalat canada,23.0,food production
parrish and heimbecker limited,23.0,food production
pastaco,23.0,food production
plats du chef,23.0,food production
protenergy natural foods corp ,23.0,food production
pssi,23.0,food production
real food for real kids,23.0,food production
redpath sugar ltd,23.0,food production
reinhart foods,23.0,food production
richardson international,23.0,food production
sargent farms,23.0,food production
shasha bread co ,23.0,food production
wilfrid major ltd shur gain,23.0,food production
sofina foods inc ,23.0,food production
sunco foods ltd ,23.0,food production
super pufft foods ltd ,23.0,food production
trophy foods inc ,23.0,food production
Trouw Nutrition,23.0,food production
twi foods inc ,23.0,food production
upfield,23.0,food production
upper crust,23.0,food production
weston foods,23.0,food production
weston foods us inc ,23.0,food production
cwd,24.0,consumer electronics
empowerment technologies inc ,24.0,consumer electronics
audio video unlimited,24.0,consumer electronics
jump+ apple premium reseller,24.0,consumer electronics
nix sensor ltd ,24.0,consumer electronics
paradigm electronics inc ,24.0,consumer electronics
ubreakifix,24.0,consumer electronics
wow tech group,24.0,consumer electronics
ACI Brands,25.0,consumer goods
asics canada corporation,25.0,consumer goods
apex tool group llc,25.0,consumer goods
aspenclean,25.0,consumer goods
autoshack auto parts,25.0,consumer goods
bath depot,25.0,consumer goods
behr paint company,25.0,consumer goods
benjamin moore and co ,25.0,consumer goods
bloomex australia,25.0,consumer goods
britnell ventures inc ,25.0,consumer goods
ciot toronto inc,25.0,consumer goods
"CROSSMARK, Inc.",25.0,consumer goods
canadian down and feather company inc ,25.0,consumer goods
canna cabana,25.0,consumer goods
centennial windows and doors,25.0,consumer goods
charmed aroma,25.0,consumer goods
church and dwight co inc ,25.0,consumer goods
clio,25.0,consumer goods
coca cola canada bottling limited,25.0,consumer goods
cocacola north america,25.0,consumer goods
corelle brands,25.0,consumer goods
dairy queen grill and chill,25.0,consumer goods
dare foods limited,25.0,consumer goods
daymak,25.0,consumer goods
"diva international inc ""divacup""i",25.0,consumer goods
dr oetker,25.0,consumer goods
ferrero,25.0,consumer goods
golden boy foods ltd,25.0,consumer goods
gracious living corporation,25.0,consumer goods
henkel,25.0,consumer goods
jacent,25.0,consumer goods
kik consumer products,25.0,consumer goods
Keurig Dr Pepper,25.0,consumer goods
korex canada co,25.0,consumer goods
kruger products l p ,25.0,consumer goods
lee valley tools,25.0,consumer goods
Labatt Breweries of Canada,25.0,consumer goods
mon ami,25.0,consumer goods
mtd products,25.0,consumer goods
matt and steve's,25.0,consumer goods
mayne inc ,25.0,consumer goods
miele,25.0,consumer goods
multy home,25.0,consumer goods
newage products inc ,25.0,consumer goods
normerica inc ,25.0,consumer goods
one floral group,25.0,consumer goods
Onward Manufacturing Company,25.0,consumer goods
pacific smoke international inc ,25.0,consumer goods
party city,25.0,consumer goods
pioneer family pools,25.0,consumer goods
powerbev inc ,25.0,consumer goods
premier candle corp,25.0,consumer goods
red apple stores ulc,25.0,consumer goods
redecan,25.0,consumer goods
reynolds consumer products,25.0,consumer goods
rolf c hagen inc ,25.0,consumer goods
sap,25.0,consumer goods
sc johnson,25.0,consumer goods
sigan industries group,25.0,consumer goods
spin master,25.0,consumer goods
spinrite,25.0,consumer goods
steel art signs corp ,25.0,consumer goods
storesupport canada,25.0,consumer goods
tank tradersâ¬ã†,25.0,consumer goods
the hershey company,25.0,consumer goods
the j m smucker co ,25.0,consumer goods
the peak group of companies,25.0,consumer goods
tilray,25.0,consumer goods
tirecraft commercial ontario inc ,25.0,consumer goods
trends international llc,25.0,consumer goods
twilight signs and neon inc,25.0,consumer goods
united supermarket,25.0,consumer goods
vinyl window designs ltd toronto,25.0,consumer goods
wahl canada,25.0,consumer goods
waterloo brewing,25.0,consumer goods
weed me inc ,25.0,consumer goods
zwilling ja henckels tã©rkiye,25.0,consumer goods
arconas,26.0,furniture
dot furniture,26.0,furniture
dufresne furniture and appliances inc ,26.0,furniture
galaxy home furnishing,26.0,furniture
