title,company,location,salary,category,timestamp,industryCode,industry
"Project Maintenance Administrator, Financial Reporting Operations, Finance",University of Calgary,"Calgary, AB",Estimated at $54.7K–$69.3K a yearTemporary +1,Project Coordinator,2022-12-16 04:45:28 UTC,79.0,public policy
"W21C Resarch Associate, Human Centred Design, Department of...",University of Calgary,"Calgary, AB",Estimated at $48.5K–$61.5K a yearFull-time +1,New Grad,2022-09-24 01:46:33 UTC,79.0,public policy
"Research Project Coordinator, Paediatrics, Cumming School of...",University of Calgary,"Calgary, AB",Estimated at $45.8K–$58K a yearPart-time +1,Project Coordinator,2022-11-11 03:23:59 UTC,79.0,public policy
"Program Administrator, Department of Civil Engineering, Schulich School of Engineering",University of Calgary,"Calgary, AB",Estimated at $43.8K–$55.5K a yearFull-time,New Grad,2023-01-17 23:18:00 UTC,79.0,public policy
"Technical Support Analyst, UService, Finance",University of Calgary,"Calgary, AB",Estimated at $42.5K–$53.9K a yearTemporary +1Monday to Friday,Financial Analyst,2022-09-29 15:16:38 UTC,79.0,public policy
"Education Development Consultant, Taylor Institute for Teaching and Learning",University of Calgary,"Calgary, AB","$85,000–$100,000 a yearFull-time","New Grad, Software Developer",2023-01-12 13:04:37 UTC,79.0,public policy
"Educational Development Consultant, Indigenous Ways of Knowi...",University of Calgary,"Calgary, AB","$81,000–$100,000 a year",New Grad,2022-05-27 07:30:23 UTC,79.0,public policy
"Investment Analyst, Treasury and Investments, Finance",University of Calgary,"Calgary, AB","$80,000 a yearFull-time","Financial Analyst, Risk Analyst, Investment Analyst",2023-02-01 12:30:56 UTC,79.0,public policy
"Postdoctoral Scholar, Community Health Sciences, Cumming School of Medicine",University of Calgary,"Calgary, AB","$60,000 a yearFull-time",New Grad,2023-01-19 14:20:38 UTC,79.0,public policy
"Postdoctoral Scholar, Oncology, Cumming School of Medicine",University of Calgary,"Calgary, AB","$60,000 a year",New Grad,2022-07-10 01:00:16 UTC,79.0,public policy
"Postdoctoral Scholar, Biochemistry & Molecular Biology, Cumming School of Medicine",University of Calgary,"Calgary, AB","$55,000 a yearFull-time",New Grad,2022-12-15 04:05:07 UTC,79.0,public policy
"Postdoctoral Scholar, Paediatrics and Radiology, Cumming School of Medicine",University of Calgary,"Calgary, AB","$55,000 a yearFull-time",New Grad,2022-12-14 04:17:12 UTC,79.0,public policy
"Post Doctoral Scholar, Calgary Prion Research Unit, Faculty of Veterinary Medicine",University of Calgary,"Calgary, AB","$50,000–$55,000 a yearFull-time",New Grad,2022-11-18 05:20:53 UTC,79.0,public policy
"Postdoctoral Scholar, Production Animal Health, Faculty of V...",University of Calgary,"Calgary, AB","$45,000–$55,000 a year",New Grad,2022-07-10 01:00:16 UTC,79.0,public policy
"Dean, Haskayne School of Business",University of Calgary,"Calgary, AB","$229,167–$332,456 a yearPart-time +1",New Grad,2022-11-18 05:16:16 UTC,79.0,public policy
"Senior Analyst, Investments, Treasury and Investments",University of Calgary,"Calgary, AB","$100,000 a yearFull-time",Financial Analyst,2023-02-01 23:48:53 UTC,79.0,public policy
"Senior Project Manager, Student Solution",University of British Columbia,"Vancouver, BC","$9,426–$14,727 a monthFull-time",New Grad,2022-06-03 01:00:20 UTC,68.0,higher education
Solutions Architect,University of British Columbia,"Vancouver, BC","$9,426–$14,727 a monthFull-time",New Grad,2022-11-02 21:46:44 UTC,68.0,higher education
Senior Project Manager,University of British Columbia,"Vancouver, BC","$9,426–$14,727 a monthFull-time",Risk Analyst,2022-11-30 02:35:46 UTC,68.0,higher education
"Senior Project Manager, Quality Assurance & Testing",University of British Columbia,"Vancouver, BC","$9,426–$14,727 a monthFull-time",New Grad,2022-10-20 18:07:18 UTC,68.0,higher education
Senior Project Manager,University of British Columbia,"Vancouver, BC","$9,426–$14,727 a month",New Grad,2022-06-10 20:00:29 UTC,68.0,higher education
Business Analyst II,University of British Columbia,Remote in British Columbia+1 location,"$87,340–$136,468 a yearFull-time","Business Analyst, Data Analyst",2022-07-26 09:30:21 UTC,68.0,higher education
"Business Analyst II, Data and Reporting",University of British Columbia,British Columbia+1 location,"$87,340–$136,468 a year",Data Analyst,2022-07-07 00:30:15 UTC,68.0,higher education
Senior Integration Developer,University of British Columbia,"Vancouver, BC","$8,648–$13,512 a monthFull-time","Risk Analyst, Web Developer",2022-10-25 00:31:57 UTC,68.0,higher education
Senior Programmer Analyst,University of British Columbia,"Vancouver, BC","$8,648–$13,512 a monthFull-time",Risk Analyst,2022-10-25 00:31:47 UTC,68.0,higher education
Senior Developer (Senior CI/CD Specialist),University of British Columbia,"Vancouver, BC","$8,648–$13,512 a monthFull-time","Software Developer, Frontend Developer",2022-09-20 21:08:34 UTC,68.0,higher education
Project Manager II,University of British Columbia,"Vancouver, BC","$8,648–$13,512 a monthFull-time",Risk Analyst,2022-06-25 01:30:19 UTC,68.0,higher education
"Senior Business Analyst, Reporting",University of British Columbia,"Vancouver, BC","$8,648–$13,512 a monthFull-time",Risk Analyst,2022-06-25 01:30:11 UTC,68.0,higher education
Senior Programmer Analyst,University of British Columbia,"Vancouver, BC","$8,648–$13,512 a monthFull-time",Risk Analyst,2022-09-21 02:50:49 UTC,68.0,higher education
Senior Business Analyst,University of British Columbia,"Vancouver, BC","$8,648–$13,512 a monthFull-time",Risk Analyst,2022-06-13 21:30:20 UTC,68.0,higher education
Senior Developer (Senior CI/CD Specialist),University of British Columbia,"Vancouver, BC","$8,648–$13,512 a monthFull-time","Full Stack Developer, Risk Analyst, Web Developer, Frontend Developer",2022-07-20 18:00:15 UTC,68.0,higher education
Senior Business Analyst,University of British Columbia,"Vancouver, BC","$8,648–$13,512 a monthFull-time","Business Analyst, Data Analyst, Risk Analyst",2022-09-23 04:31:41 UTC,68.0,higher education
Senior Programmer Analyst (SailPoint),University of British Columbia,"Vancouver, BC","$8,648–$13,512 a monthFull-time",Risk Analyst,2022-10-18 11:37:31 UTC,68.0,higher education
Senior Programmer Analyst (Broker),University of British Columbia,"Vancouver, BC","$8,648–$13,512 a monthFull-time",Risk Analyst,2022-10-18 11:37:27 UTC,68.0,higher education
"Senior Business Analyst, Student Solution",University of British Columbia,"Vancouver, BC","$8,648–$13,512 a monthFull-time",Data Analyst,2022-10-06 23:46:56 UTC,68.0,higher education
Senior Business Analyst,University of British Columbia,"Vancouver, BC","$8,648–$13,512 a monthFull-time","Risk Analyst, Business Analyst, Data Analyst",2022-10-24 19:00:52 UTC,68.0,higher education
Senior Business Analyst,University of British Columbia,"Vancouver, BC","$8,648–$13,512 a monthFull-time","Risk Analyst, Business Analyst, Data Analyst",2022-11-30 02:32:37 UTC,68.0,higher education
Senior Data Conversion Specialist,University of British Columbia,"Vancouver, BC","$8,648–$13,512 a monthFull-time",Risk Analyst,2022-11-29 17:33:09 UTC,68.0,higher education
Senior Project Manager,University of British Columbia,"Vancouver, BC","$8,648–$13,512 a month",Risk Analyst,2022-06-23 08:00:16 UTC,68.0,higher education
Project Manager II,University of British Columbia,"Vancouver, BC","$8,648–$13,512 a month",Risk Analyst,2022-06-21 12:33:53 UTC,68.0,higher education
"Manager, Research Admin",University of British Columbia,"Vancouver, BC","$7,933–$12,396 a monthFull-time",New Grad,2022-11-26 02:16:56 UTC,68.0,higher education
"Manager, Institutional Programs",University of British Columbia,"Vancouver, BC","$7,933–$12,396 a monthFull-time",New Grad,2022-12-06 02:02:09 UTC,68.0,higher education
Energy Conservation Engineer,University of British Columbia,"Vancouver, BC","$7,933–$12,396 a monthFull-time",Electrical Engineer,2023-01-02 22:31:01 UTC,68.0,higher education
CFI/BCKDF Program Officer,University of British Columbia,"Vancouver, BC","$7,933–$12,396 a monthFull-time",New Grad,2022-12-23 19:33:46 UTC,68.0,higher education
"Director, International Recruitment, Scholarship Programs an...",University of British Columbia,"Vancouver, BC","$7,933–$12,396 a month",New Grad,2022-06-15 09:00:12 UTC,68.0,higher education
Configuration Analyst,University of British Columbia,"Vancouver, BC","$7,278–$11,372 a monthFull-time +1",Risk Analyst,2023-01-09 23:00:34 UTC,68.0,higher education
Programmer Systems Analyst II,University of British Columbia,"Vancouver, BC","$7,278–$11,372 a monthFull-time",Data Analyst,2022-11-08 00:30:44 UTC,68.0,higher education
Data Conversion Developer,University of British Columbia,"Vancouver, BC","$7,278–$11,372 a monthFull-time",Risk Analyst,2022-12-17 08:46:14 UTC,68.0,higher education
"Data Developer, ETL",University of British Columbia,"Vancouver, BC","$7,278–$11,372 a monthFull-time",Risk Analyst,2023-01-27 23:48:29 UTC,68.0,higher education
Systems Analyst II,University of British Columbia,"Vancouver, BC","$7,278–$11,372 a monthFull-time",Data Analyst,2022-09-20 20:03:25 UTC,68.0,higher education
"System Analyst, Security",University of British Columbia,"Vancouver, BC","$7,278–$11,372 a monthFull-time",Data Analyst,2022-12-16 16:47:45 UTC,68.0,higher education
Business Analyst ll,University of British Columbia,"Vancouver, BC","$7,278–$11,372 a monthFull-time","Data Analyst, Risk Analyst",2022-10-28 06:07:01 UTC,68.0,higher education
Business Analyst II,University of British Columbia,"Vancouver, BC","$7,278–$11,372 a monthFull-time","Business Analyst, Data Analyst",2022-11-23 23:31:31 UTC,68.0,higher education
Systems Analyst II,University of British Columbia,"Vancouver, BC","$7,278–$11,372 a monthFull-time","Risk Analyst, Data Analyst",2022-11-22 18:30:29 UTC,68.0,higher education
Systems Analyst II,University of British Columbia,"Vancouver, BC","$7,278–$11,372 a monthFull-time","Data Analyst, Risk Analyst",2023-01-05 17:00:57 UTC,68.0,higher education
Business Systems Analyst,University of British Columbia,"Vancouver, BC","$7,278–$11,372 a monthFull-time",Business Analyst,2023-01-05 16:46:10 UTC,68.0,higher education
"Business Analyst II, Data and Reporting",University of British Columbia,"Vancouver, BC","$7,278–$11,372 a monthFull-time","Business Analyst, Data Analyst",2023-01-05 22:01:03 UTC,68.0,higher education
Business Analyst II,University of British Columbia,"Vancouver, BC","$7,278–$11,372 a monthFull-time","Risk Analyst, Business Analyst, Data Analyst",2022-12-08 18:00:47 UTC,68.0,higher education
Business Systems Analyst,University of British Columbia,"Vancouver, BC","$7,278–$11,372 a monthFull-time","Business Analyst, Data Analyst, Risk Analyst",2022-06-17 02:00:12 UTC,68.0,higher education
Business Analyst II,University of British Columbia,"Vancouver, BC","$7,278–$11,372 a monthFull-time","Risk Analyst, Business Analyst, Data Analyst",2022-07-25 19:30:15 UTC,68.0,higher education
"Director, Student Personal and Professional Development",University of British Columbia,"Vancouver, BC","$7,278–$11,372 a monthFull-time","Intern, New Grad, Software Developer",2022-10-31 17:16:48 UTC,68.0,higher education
Business Analyst II,University of British Columbia,"Vancouver, BC","$7,278–$11,372 a monthFull-time","Risk Analyst, Business Analyst",2022-12-12 22:17:02 UTC,68.0,higher education
Data Conversion Developer,University of British Columbia,"Vancouver, BC","$7,278–$11,372 a monthFull-time","Risk Analyst, Software Developer",2022-10-21 17:06:17 UTC,68.0,higher education
Programmer Analyst II,University of British Columbia,"Vancouver, BC","$7,278–$11,372 a monthFull-time","Software Developer, Risk Analyst",2022-11-02 23:03:40 UTC,68.0,higher education
Systems Analyst II,University of British Columbia,"Vancouver, BC","$7,278–$11,372 a month","Risk Analyst, Data Analyst",2022-07-06 19:30:17 UTC,68.0,higher education
"Business Analyst II, Data and Reporting",University of British Columbia,"Vancouver, BC","$7,278–$11,372 a month",Risk Analyst,2022-07-06 19:30:13 UTC,68.0,higher education
Quality Assurance Lead,University of British Columbia,"Vancouver, BC","$7,278–$11,372 a month",Risk Analyst,2022-06-14 19:30:17 UTC,68.0,higher education
Systems Analyst II,University of British Columbia,"Vancouver, BC","$7,278–$11,372 a month","Data Analyst, Risk Analyst",2022-06-01 20:00:14 UTC,68.0,higher education
Developer II,University of British Columbia,"Vancouver, BC","$7,278–$11,372 a month","Risk Analyst, Web Developer, Frontend Developer",2022-06-02 21:30:23 UTC,68.0,higher education
Developer II,University of British Columbia,"Vancouver, BC","$7,278–$11,372 a month","Software Developer, Risk Analyst",2022-06-21 20:00:44 UTC,68.0,higher education
"Business Analyst ll, Enterprise Data Governance",University of British Columbia,"Vancouver, BC","$7,278–$11,372 a month","Business Analyst, Data Analyst, Risk Analyst",2022-07-11 18:00:22 UTC,68.0,higher education
Postdoctoral Research Fellow,University of British Columbia,British Columbia,"$60,000 a yearFull-time",New Grad,2022-06-23 21:30:28 UTC,68.0,higher education
Research Associate,University of British Columbia,"University of British Columbia (Okanagan campus), BC","$60,000 a yearFull-time",New Grad,2023-01-05 16:20:55 UTC,68.0,higher education
Shift Sub-Head Operating Engineer,University of British Columbia,"Vancouver, BC","$6,803 a monthFull-time",Electrical Engineer,2022-09-23 20:46:21 UTC,68.0,higher education
Research Scientist,University of British Columbia,"Hybrid remote in Vancouver, BC","$6,677–$10,434 a monthPart-time",New Grad,2023-01-10 02:47:18 UTC,68.0,higher education
"Manager, Business Development",University of British Columbia,"Vancouver, BC","$6,677–$10,434 a monthFull-timeEvening shift",Software Developer,2022-07-14 18:00:35 UTC,68.0,higher education
"Manager, UX and Content Strategy",University of British Columbia,"Vancouver, BC","$6,677–$10,434 a monthFull-time",Frontend Developer,2022-07-22 13:00:18 UTC,68.0,higher education
"Manager, Administration & Operations",University of British Columbia,"University of British Columbia (Okanagan campus), BC","$6,677–$10,434 a monthFull-time",New Grad,2022-09-24 22:20:31 UTC,68.0,higher education
Senior Financial Analyst,University of British Columbia,"Vancouver, BC","$6,677–$10,434 a monthFull-time",Risk Analyst,2023-01-04 23:31:16 UTC,68.0,higher education
"Manager, Administration",University of British Columbia,"Vancouver, BC","$6,677–$10,434 a monthFull-time",New Grad,2022-11-29 01:01:54 UTC,68.0,higher education
HR Functional Analyst,University of British Columbia,"University of British Columbia (Vancouver campus), BC","$6,677–$10,434 a month","HR Analyst, Data Analyst",2022-06-10 18:00:11 UTC,68.0,higher education
Information Systems Analyst,University of British Columbia,"Vancouver, BC","$6,677–$10,434 a month","New Grad, Data Analyst",2022-07-06 13:30:41 UTC,68.0,higher education
HR Functional Analyst,University of British Columbia,"Vancouver, BC","$6,677–$10,434 a month",HR Analyst,2022-05-31 01:00:10 UTC,68.0,higher education
HR Functional Analyst - University of British Columbia (Vanc...,University of British Columbia,"Vancouver, BC","$6,677–$10,434 a month",HR Analyst,2022-06-14 21:00:12 UTC,68.0,higher education
Workplace Wellbeing Data and Evaluation Analyst,University of British Columbia,"Vancouver, BC","$6,379–$9,189 a monthPart-time","Data Analyst, Risk Analyst",2022-11-21 18:17:42 UTC,68.0,higher education
Education Resource Developer,University of British Columbia,"Vancouver, BC","$6,379–$9,189 a monthFull-timeWeekend availability +1","Web Developer, Software Developer",2023-01-17 22:00:36 UTC,68.0,higher education
"Manager, Experiential Learning & Professional Development",University of British Columbia,"Vancouver, BC","$6,379–$9,189 a monthFull-timeWeekend availability","Software Developer, New Grad",2022-11-16 16:17:44 UTC,68.0,higher education
Student Financial Support Analyst,University of British Columbia,"Vancouver, BC","$6,379–$9,189 a monthFull-time",Financial Analyst,2023-01-13 00:30:51 UTC,68.0,higher education
Evaluation Associate,University of British Columbia,"Vancouver, BC","$6,379–$9,189 a monthFull-time",New Grad,2023-01-12 23:30:40 UTC,68.0,higher education
Global Engagement Advisor,University of British Columbia,"Vancouver, BC","$6,379–$9,189 a monthFull-time",New Grad,2022-07-06 02:30:35 UTC,68.0,higher education
"Director, Haida Gwaii Institute",University of British Columbia,British Columbia,"$6,379–$9,189 a monthFull-time",New Grad,2022-11-23 17:32:06 UTC,68.0,higher education
Global Engagement Advisor,University of British Columbia,"Vancouver, BC","$6,379–$9,189 a monthFull-time",New Grad,2022-11-10 22:09:10 UTC,68.0,higher education
Financial Analyst,University of British Columbia,"Vancouver, BC","$6,379–$9,189 a monthFull-time","Financial Analyst, Risk Analyst, Investment Analyst",2022-12-20 01:15:36 UTC,68.0,higher education
"Educational Consultant, Experiential Education",University of British Columbia,"University of British Columbia (Okanagan campus), BC","$6,379–$9,189 a monthFull-time",New Grad,2022-10-07 09:50:54 UTC,68.0,higher education
Senior Financial Analyst,University of British Columbia,"Vancouver, BC","$6,379–$9,189 a monthFull-time","Risk Analyst, Financial Analyst",2022-11-28 19:01:40 UTC,68.0,higher education
Global Engagement Advisor,University of British Columbia,"Vancouver, BC","$6,379–$9,189 a monthFull-time",New Grad,2022-11-01 17:31:02 UTC,68.0,higher education
Academic Advisor,University of British Columbia,"Vancouver, BC","$6,379–$9,189 a monthFull-time",New Grad,2023-01-06 02:45:20 UTC,68.0,higher education
Sustainability Data and Reporting Manager,University of British Columbia,"Vancouver, BC","$6,379–$9,189 a monthFull-time",New Grad,2022-10-24 20:47:09 UTC,68.0,higher education
Academic Advisor - Systems and Records Management,University of British Columbia,"Vancouver, BC","$6,379–$9,189 a month",New Grad,2022-05-31 03:00:21 UTC,68.0,higher education
Global Engagement Advisor,University of British Columbia,"Vancouver, BC","$6,379–$9,189 a month",New Grad,2022-07-08 17:30:26 UTC,68.0,higher education
Academic Advisor,University of British Columbia,"Vancouver, BC","$6,379–$9,189 a month",New Grad,2022-06-01 09:00:35 UTC,68.0,higher education
Data Analyst,University of British Columbia,"Vancouver, BC","$6,379–$9,189 a month","Business Analyst, Data Analyst",2022-06-09 04:00:24 UTC,68.0,higher education
Power Engineer (EWS),University of British Columbia,"Vancouver, BC","$6,071 a monthFull-time",Electrical Engineer,2022-11-08 00:02:47 UTC,68.0,higher education
Mechatronics Engineering Technologist,University of British Columbia,"Vancouver, BC","$6,028–$6,435 a monthFull-time",New Grad,2022-11-14 19:22:54 UTC,68.0,higher education
Graduate Awards Analyst,University of British Columbia,"Hybrid remote in Vancouver, BC","$5,906–$8,508 a monthTemporary +1",Data Analyst,2022-11-08 00:31:00 UTC,68.0,higher education
"Manager, Student Services",University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-timeWeekend availability",New Grad,2023-01-12 02:01:09 UTC,68.0,higher education
"Cybersecurity Analyst I, Applications",University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-timeOn call",Risk Analyst,2022-10-25 00:31:13 UTC,68.0,higher education
Web Developer,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-timeOn call","Frontend Developer, Software Developer, Full Stack Developer, Risk Analyst, Web Developer",2022-10-31 17:00:46 UTC,68.0,higher education
"Genome Canada Research Project Manager, Finance & Operations",University of British Columbia,Hybrid remote in British Columbia,"$5,906–$8,508 a monthFull-timeEvenings as needed",New Grad,2023-01-10 02:47:21 UTC,68.0,higher education
Postgraduate Education Program Manager,University of British Columbia,British Columbia,"$5,906–$8,508 a monthFull-timeEvenings as needed",New Grad,2022-10-27 02:52:09 UTC,68.0,higher education
Professional Programs Manager,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-timeEvenings as needed",New Grad,2023-01-12 18:19:49 UTC,68.0,higher education
Career and Employer Relations Manager,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time +1Weekend availability",New Grad,2022-10-04 00:47:50 UTC,68.0,higher education
"Manager, Lancet Planetary Health Commission on Sustainable Healthcare",University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time +1Evenings as needed",New Grad,2022-12-12 18:52:41 UTC,68.0,higher education
Financial Analyst,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",Financial Analyst,2022-07-18 21:30:13 UTC,68.0,higher education
Administrator,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",New Grad,2023-01-10 18:51:31 UTC,68.0,higher education
Business Technology Analyst,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time","Risk Analyst, Business Analyst, Data Analyst",2023-01-10 17:01:19 UTC,68.0,higher education
Change Management Specialist,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",Risk Analyst,2022-11-08 02:47:37 UTC,68.0,higher education
Project Manager I,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",Electrical Engineer,2022-11-08 00:02:52 UTC,68.0,higher education
